date,product,time,bid,bs,ask,as
,AMETHYSTS,3300,9996,2,10004,2
,STARFRUIT,3400,4997,26,5003,2
,AMETHYSTS,3400,9996,2,10004,2
,STARFRUIT,3500,4997,26,5004,26
,AMETHYSTS,3500,9995,26,10005,26
,AMETHYSTS,3600,9995,21,9998,4
,STARFRUIT,3600,4997,21,5004,21
,STARFRUIT,3700,4998,3,5004,24
,AMETHYSTS,3700,10002,1,10004,1
,STARFRUIT,3800,4997,25,5004,25
,AMETHYSTS,3800,9996,2,10002,10
,STARFRUIT,3900,4998,2,5003,1
,AMETHYSTS,3900,9998,1,10004,1
,AMETHYSTS,4000,9996,2,10004,2
,STARFRUIT,4000,4997,32,5003,2
,STARFRUIT,4100,4997,29,5003,2
,AMETHYSTS,4100,9996,2,10004,2
,STARFRUIT,4200,4998,2,5004,26
,AMETHYSTS,4200,9996,2,10002,4
,STARFRUIT,4300,4998,7,5000,5
,AMETHYSTS,4300,9995,22,9998,1
,AMETHYSTS,4400,9995,30,10005,30
,STARFRUIT,4400,4997,30,5004,30
,STARFRUIT,4500,4996,28,5003,29
,AMETHYSTS,4500,9996,1,10002,10
,STARFRUIT,4600,4997,30,5004,30
,AMETHYSTS,4600,9996,1,10002,10
,STARFRUIT,4700,4997,32,4998,7
,AMETHYSTS,4700,9996,2,10004,2
,AMETHYSTS,4800,9998,6,10004,2
,STARFRUIT,4800,4997,24,5004,24
,STARFRUIT,4900,4996,22,5003,22
,AMETHYSTS,4900,9995,22,10002,7
,STARFRUIT,5000,4997,30,5004,30
,AMETHYSTS,5000,9998,3,10004,2
,STARFRUIT,5100,4998,7,5004,31
,AMETHYSTS,5100,9996,1,10004,1
,AMETHYSTS,5200,9998,9,10004,1
,STARFRUIT,5200,4998,8,5003,1
,STARFRUIT,5300,5002,1,5004,21
,AMETHYSTS,5300,9996,1,10004,1
,STARFRUIT,5400,4997,21,5002,6
,AMETHYSTS,5400,9995,21,10005,21
,AMETHYSTS,5500,9995,27,10005,27
,STARFRUIT,5500,4997,27,5004,27
,STARFRUIT,5600,5002,2,5005,28
,AMETHYSTS,5600,9995,28,10005,28
,STARFRUIT,5700,4999,26,5006,27
,AMETHYSTS,5700,9998,2,10005,27
,STARFRUIT,5800,4999,31,5006,31
,AMETHYSTS,5800,9996,1,10004,1
,AMETHYSTS,5900,9996,2,10004,2
,STARFRUIT,5900,5000,5,5005,2
,STARFRUIT,6000,4998,30,5005,30
,AMETHYSTS,6000,9995,30,10005,30
,STARFRUIT,6100,4999,24,5005,1
,AMETHYSTS,6100,9996,1,10004,1
,STARFRUIT,6200,4999,22,5005,1
,AMETHYSTS,6200,9996,1,10004,1
,AMETHYSTS,6300,9996,2,10004,2
,STARFRUIT,6300,4999,7,5005,25
,STARFRUIT,6400,4999,1,5005,25
,AMETHYSTS,6400,9996,1,10004,1
,STARFRUIT,6500,4999,27,5005,1
,AMETHYSTS,6500,9996,1,9998,1
,STARFRUIT,6600,4998,26,5005,26
,AMETHYSTS,6600,9996,2,10004,2
,AMETHYSTS,6700,9995,20,10002,3
,STARFRUIT,6700,4999,7,5005,20
,STARFRUIT,6800,4997,32,5002,8
,AMETHYSTS,6800,9996,2,10004,2
,STARFRUIT,6900,4997,27,5002,1
,AMETHYSTS,6900,9996,1,10002,5
,STARFRUIT,7000,5002,4,5004,27
,AMETHYSTS,7000,9998,2,10005,27
,AMETHYSTS,7100,9996,1,10004,1
,STARFRUIT,7100,4998,30,5005,30
,STARFRUIT,7200,4998,28,5005,28
,AMETHYSTS,7200,9998,5,10004,1
,STARFRUIT,7300,4998,6,5004,31
,AMETHYSTS,7300,10002,1,10004,2
,STARFRUIT,7400,4998,22,5004,1
,AMETHYSTS,7400,9996,1,10004,1
,AMETHYSTS,7500,9995,25,10002,10
,STARFRUIT,7500,4998,25,5005,25
,STARFRUIT,7600,4997,22,5004,22
,AMETHYSTS,7600,9996,2,10004,2
,AMETHYSTS,7700,9995,22,10005,22
,STARFRUIT,7700,4997,21,5004,22
,AMETHYSTS,7800,9998,3,10004,1
,STARFRUIT,7800,4998,1,5004,23
,AMETHYSTS,7900,9996,1,10004,1
,STARFRUIT,7900,4999,4,5004,1
,STARFRUIT,8000,4998,27,5003,8
,AMETHYSTS,8000,9995,27,10005,27
,AMETHYSTS,8100,9996,1,10004,1
,STARFRUIT,8100,4998,23,5004,1
,AMETHYSTS,8200,9995,23,10005,23
,STARFRUIT,8200,4997,23,5002,1
,AMETHYSTS,8300,9996,1,10004,1
,STARFRUIT,8300,4998,30,5005,30
,STARFRUIT,8400,4998,28,5005,28
,AMETHYSTS,8400,9995,28,10005,28
,AMETHYSTS,8500,9998,10,10004,2
,STARFRUIT,8500,4998,2,5004,31
,AMETHYSTS,8600,9996,1,10004,1
,STARFRUIT,8600,4997,22,5004,23
,AMETHYSTS,8700,9998,10,10005,27
,STARFRUIT,8700,4997,27,5002,4
,STARFRUIT,8800,4998,7,5004,25
,AMETHYSTS,8800,9995,25,9998,1
,AMETHYSTS,8900,9998,9,10005,26
,STARFRUIT,8900,4999,1,5005,26
,AMETHYSTS,9000,9996,2,10004,2
,STARFRUIT,9000,4997,31,5004,31
,AMETHYSTS,9100,9998,3,10004,2
,STARFRUIT,9100,4998,29,5005,29
,STARFRUIT,9200,4997,27,5002,7
,AMETHYSTS,9200,9998,10,10005,27
,AMETHYSTS,9300,9996,1,10004,1
,STARFRUIT,9300,4998,21,5004,1
,AMETHYSTS,9400,9998,2,10004,2
,STARFRUIT,9400,4997,23,5004,23
,AMETHYSTS,9500,9996,1,10004,1
,STARFRUIT,9500,4998,4,5004,31
,STARFRUIT,9600,4997,31,5004,31
,AMETHYSTS,9600,9996,1,10004,1
,AMETHYSTS,9700,9995,22,10002,1
,STARFRUIT,9700,4997,22,5004,22
,AMETHYSTS,9800,9995,26,10005,26
,STARFRUIT,9800,4997,26,5004,26
,AMETHYSTS,9900,9995,25,10005,25
,STARFRUIT,9900,5001,4,5003,25
,STARFRUIT,10000,4997,8,5003,28
,AMETHYSTS,10000,9995,28,10005,28
,STARFRUIT,10100,4996,1,5002,25
,AMETHYSTS,10100,9996,1,10002,3
,AMETHYSTS,10200,9996,2,10004,2
,STARFRUIT,10200,4996,2,5002,28
,STARFRUIT,10300,5001,1,5003,27
,AMETHYSTS,10300,9998,4,10005,27
,STARFRUIT,10400,4997,1,5003,29
,AMETHYSTS,10400,10002,1,10004,1
,STARFRUIT,10500,4996,31,5003,31
,AMETHYSTS,10500,9998,4,10004,2
,AMETHYSTS,10600,9996,2,10000,4
,STARFRUIT,10600,4997,31,5000,4
,STARFRUIT,10700,4998,1,5004,28
,AMETHYSTS,10700,9998,8,10005,28
,STARFRUIT,10800,4998,3,5004,24
,AMETHYSTS,10800,9998,5,10004,2
,STARFRUIT,10900,4999,7,5005,28
,AMETHYSTS,10900,9996,1,10004,1
,AMETHYSTS,11000,9995,24,10002,7
,STARFRUIT,11000,5002,7,5004,24
,STARFRUIT,11100,4998,21,5005,21
,AMETHYSTS,11100,9998,3,10005,21
,STARFRUIT,11200,4998,2,5004,23
,AMETHYSTS,11200,9996,2,10002,7
,STARFRUIT,11300,4999,3,5004,1
,AMETHYSTS,11300,9996,1,10004,1
,AMETHYSTS,11400,9996,1,10004,1
,STARFRUIT,11400,4997,26,5003,1
,STARFRUIT,11500,4997,26,5002,8
,AMETHYSTS,11500,9996,1,10002,7
,STARFRUIT,11600,4997,29,5004,29
,AMETHYSTS,11600,9996,2,10002,2
,STARFRUIT,11700,4997,23,4998,2
,AMETHYSTS,11700,9996,2,10004,2
,AMETHYSTS,11800,9998,10,10000,5
,STARFRUIT,11800,4997,29,5000,4
,STARFRUIT,11900,4998,32,5003,3
,AMETHYSTS,11900,9996,2,10004,2
,STARFRUIT,12000,4998,20,5005,20
,AMETHYSTS,12000,10002,1,10005,20
,STARFRUIT,12100,4998,2,5002,1
,AMETHYSTS,12100,9996,2,10004,2
,AMETHYSTS,12200,9996,2,10004,2
,STARFRUIT,12200,4998,6,5004,30
,STARFRUIT,12300,4998,1,5004,29
,AMETHYSTS,12300,9998,6,10004,1
,STARFRUIT,12400,4999,4,5005,26
,AMETHYSTS,12400,9995,26,10005,26
,STARFRUIT,12500,4998,19,5005,20
,AMETHYSTS,12500,9995,20,10005,20
,AMETHYSTS,12600,9995,22,10005,22
,STARFRUIT,12600,4998,22,5005,22
,STARFRUIT,12700,4998,2,5004,22
,AMETHYSTS,12700,9996,2,10004,2
,STARFRUIT,12800,4997,22,5004,22
,AMETHYSTS,12800,9996,2,10004,2
,STARFRUIT,12900,4998,7,5003,1
,AMETHYSTS,12900,9996,1,10002,3
,AMETHYSTS,13000,10002,1,10005,20
,STARFRUIT,13000,5002,1,5003,20
,STARFRUIT,13100,4997,8,5003,26
,AMETHYSTS,13100,9996,1,10004,1
,STARFRUIT,13200,4997,22,5002,5
,AMETHYSTS,13200,9998,2,10005,22
,STARFRUIT,13300,4998,6,5004,24
,AMETHYSTS,13300,9995,24,10005,24
,AMETHYSTS,13400,9996,2,10004,2
,STARFRUIT,13400,4997,32,5004,32
,STARFRUIT,13500,4997,30,5002,8
,AMETHYSTS,13500,9995,30,10005,30
,STARFRUIT,13600,4997,24,5002,3
,AMETHYSTS,13600,9995,25,10002,10
,STARFRUIT,13700,4999,4,5004,1
,AMETHYSTS,13700,9996,1,9998,4
,AMETHYSTS,13800,9996,2,10004,2
,STARFRUIT,13800,4999,1,5004,2
,STARFRUIT,13900,4998,22,5001,6
,AMETHYSTS,13900,9996,2,10000,6
,STARFRUIT,14000,4998,5,5004,29
,AMETHYSTS,14000,9998,5,10004,2
,STARFRUIT,14100,4997,25,5002,1
,AMETHYSTS,14100,9996,2,10004,2
,AMETHYSTS,14200,9995,21,10005,21
,STARFRUIT,14200,4997,21,4998,1
,STARFRUIT,14300,4997,29,5004,29
,AMETHYSTS,14300,9996,2,10004,2
,STARFRUIT,14400,4997,30,5004,30
,AMETHYSTS,14400,9996,1,10004,1
,AMETHYSTS,14500,9995,24,10002,1
,STARFRUIT,14500,4997,24,5004,24
,STARFRUIT,14600,4997,28,5000,2
,AMETHYSTS,14600,9996,2,10000,2
,STARFRUIT,14700,4997,30,5004,30
,AMETHYSTS,14700,9995,30,10002,7
,STARFRUIT,14800,4997,28,5004,28
,AMETHYSTS,14800,9995,28,10002,6
,AMETHYSTS,14900,10000,4,10005,26
,STARFRUIT,14900,5000,4,5004,26
,STARFRUIT,15000,5003,8,5005,25
,AMETHYSTS,15000,9998,1,10005,25
,STARFRUIT,15100,4998,5,5004,22
,AMETHYSTS,15100,9995,22,10005,22
,STARFRUIT,15200,4997,27,4998,1
,AMETHYSTS,15200,9998,6,10005,27
,AMETHYSTS,15300,9995,26,10002,1
,STARFRUIT,15300,4997,26,5002,4
,STARFRUIT,15400,4998,5,5003,2
,AMETHYSTS,15400,9996,2,9998,1
,STARFRUIT,15500,4997,31,5002,8
,AMETHYSTS,15500,10002,1,10004,2
,STARFRUIT,15600,4997,7,5003,26
,AMETHYSTS,15600,9996,2,10004,2
,AMETHYSTS,15700,10002,5,10004,1
,STARFRUIT,15700,4997,25,5003,1
,STARFRUIT,15800,5002,1,5004,22
,AMETHYSTS,15800,9998,10,10004,2
,STARFRUIT,15900,4997,31,5000,6
,AMETHYSTS,15900,9996,2,10000,6
,STARFRUIT,16000,4997,29,5002,2
,AMETHYSTS,16000,9996,2,10002,6
,AMETHYSTS,16100,9995,21,10000,2
,STARFRUIT,16100,4997,21,5000,2
,STARFRUIT,16200,4996,24,4998,1
,AMETHYSTS,16200,9995,24,9998,1
,STARFRUIT,16300,4997,2,5003,23
,AMETHYSTS,16300,9996,1,10004,1
,STARFRUIT,16400,4996,2,5002,32
,AMETHYSTS,16400,9996,2,10002,3
,AMETHYSTS,16500,9996,2,10002,7
,STARFRUIT,16500,4996,23,5002,2
,STARFRUIT,16600,4996,29,5002,2
,AMETHYSTS,16600,9998,4,10004,2
,AMETHYSTS,16700,10002,1,10005,26
,STARFRUIT,16700,5001,1,5002,26
,AMETHYSTS,16800,9995,26,10005,26
,STARFRUIT,16800,4996,26,5003,26
,AMETHYSTS,16900,9996,1,10004,1
,STARFRUIT,16900,4996,26,5003,26
,STARFRUIT,17000,4996,29,5003,29
,AMETHYSTS,17000,9998,9,10005,29
,AMETHYSTS,17100,9996,2,10004,2
,STARFRUIT,17100,4996,23,5002,2
,AMETHYSTS,17200,9998,3,10004,2
,STARFRUIT,17200,4996,24,5003,24
,AMETHYSTS,17300,9996,2,10002,9
,STARFRUIT,17300,4996,25,5001,6
,STARFRUIT,17400,4999,6,5003,28
,AMETHYSTS,17400,10000,6,10005,28
,AMETHYSTS,17500,9995,26,10005,26
,STARFRUIT,17500,4996,26,5003,26
,AMETHYSTS,17600,9998,6,10005,30
,STARFRUIT,17600,4996,30,5003,30
,AMETHYSTS,17700,9996,2,10004,2
,STARFRUIT,17700,5001,1,5002,29
,STARFRUIT,17800,4996,26,5002,2
,AMETHYSTS,17800,9996,2,10002,5
,AMETHYSTS,17900,9995,23,10005,23
,STARFRUIT,17900,4995,23,5002,23
,AMETHYSTS,18000,9996,2,10004,2
,STARFRUIT,18000,4996,2,5002,27
,AMETHYSTS,18100,9995,20,10005,20
,STARFRUIT,18100,4996,20,5003,20
,STARFRUIT,18200,4995,25,4997,4
,AMETHYSTS,18200,9996,1,10004,1
,AMETHYSTS,18300,9996,2,10004,2
,STARFRUIT,18300,4995,25,5002,25
,AMETHYSTS,18400,9996,2,10004,2
,STARFRUIT,18400,4995,25,5000,5
,AMETHYSTS,18500,9995,29,10000,2
,STARFRUIT,18500,4995,29,4998,1
,STARFRUIT,18600,4996,20,5001,5
,AMETHYSTS,18600,10002,1,10005,20
,AMETHYSTS,18700,9995,22,10005,22
,STARFRUIT,18700,4996,22,5003,22
,AMETHYSTS,18800,9996,2,10004,2
,STARFRUIT,18800,4996,28,5002,2
,STARFRUIT,18900,4996,22,5003,22
,AMETHYSTS,18900,9998,2,10005,22
,STARFRUIT,19000,4995,28,4996,10
,AMETHYSTS,19000,9996,2,10004,2
,STARFRUIT,19100,4996,2,5002,28
,AMETHYSTS,19100,9996,2,10004,2
,AMETHYSTS,19200,9996,1,9998,1
,STARFRUIT,19200,4996,21,5002,1
,STARFRUIT,19300,4996,23,5002,2
,AMETHYSTS,19300,9996,2,10004,2
,STARFRUIT,19400,4995,26,5002,26
,AMETHYSTS,19400,9995,26,10005,26
,STARFRUIT,19500,4995,23,5002,23
,AMETHYSTS,19500,9995,23,10005,23
,AMETHYSTS,19600,9996,2,10004,2
,STARFRUIT,19600,4997,2,5003,29
,STARFRUIT,19700,4997,1,5001,7
,AMETHYSTS,19700,10002,1,10004,2
,STARFRUIT,19800,4996,31,5003,31
,AMETHYSTS,19800,9996,2,10004,2
,STARFRUIT,19900,4997,2,5003,32
,AMETHYSTS,19900,9996,2,10004,2
,AMETHYSTS,20000,9995,27,10002,4
,STARFRUIT,20000,4997,2,5003,27
,STARFRUIT,20100,4996,31,5001,4
,AMETHYSTS,20100,10002,1,10004,1
,STARFRUIT,20200,4996,29,5003,29
,AMETHYSTS,20200,9995,29,9998,1
,STARFRUIT,20300,4996,27,4997,1
,AMETHYSTS,20300,9995,27,10005,27
,AMETHYSTS,20400,9996,1,10000,4
,STARFRUIT,20400,4997,1,4999,4
,STARFRUIT,20500,4999,4,5003,32
,AMETHYSTS,20500,10000,3,10004,2
,STARFRUIT,20600,4997,2,5003,28
,AMETHYSTS,20600,9996,2,10004,2
,STARFRUIT,20700,4999,6,5003,22
,AMETHYSTS,20700,10002,1,10005,22
,AMETHYSTS,20800,9996,2,10004,2
,STARFRUIT,20800,4995,24,5002,24
,STARFRUIT,20900,5000,1,5002,23
,AMETHYSTS,20900,9995,23,10005,23
,STARFRUIT,21000,4996,2,5002,28
,AMETHYSTS,21000,9996,2,10004,2
,STARFRUIT,21100,4996,2,5002,24
,AMETHYSTS,21100,9996,2,10004,2
,AMETHYSTS,21200,9995,22,9998,1
,STARFRUIT,21200,4995,22,5002,22
,STARFRUIT,21300,4996,1,5002,30
,AMETHYSTS,21300,9996,1,10002,7
,STARFRUIT,21400,4996,28,5003,28
,AMETHYSTS,21400,9995,28,10005,28
,STARFRUIT,21500,5000,4,5002,1
,AMETHYSTS,21500,9996,1,10004,1
,AMETHYSTS,21600,10002,12,10004,2
,STARFRUIT,21600,4996,27,5003,27
,STARFRUIT,21700,4996,2,5002,31
,AMETHYSTS,21700,9998,8,10004,2
,STARFRUIT,21800,4996,24,5003,24
,AMETHYSTS,21800,9996,2,10004,2
,STARFRUIT,21900,4997,1,5003,22
,AMETHYSTS,21900,10002,3,10004,1
,AMETHYSTS,22000,9995,21,10005,21
,STARFRUIT,22000,4996,21,5003,21
,STARFRUIT,22100,4997,23,5004,24
,AMETHYSTS,22100,9996,2,10002,7
,STARFRUIT,22200,4997,21,5004,21
,AMETHYSTS,22200,9998,6,10004,1
,STARFRUIT,22300,4997,29,5004,29
,AMETHYSTS,22300,9996,1,10004,1
,AMETHYSTS,22400,9996,2,9998,1
,STARFRUIT,22400,4996,29,5003,29
,STARFRUIT,22500,4997,2,5003,31
,AMETHYSTS,22500,9996,2,10004,2
,STARFRUIT,22600,5000,6,5003,2
,AMETHYSTS,22600,10000,6,10004,2
,STARFRUIT,22700,4997,1,5003,26
,AMETHYSTS,22700,9996,2,10004,2
,AMETHYSTS,22800,9996,1,9998,2
,STARFRUIT,22800,4996,27,5002,1
,STARFRUIT,22900,4996,32,5003,32
,AMETHYSTS,22900,9996,2,10002,8
,STARFRUIT,23000,4996,22,5003,22
,AMETHYSTS,23000,9996,1,10004,1
,STARFRUIT,23100,4996,23,5003,23
,AMETHYSTS,23100,9998,8,10005,23
,AMETHYSTS,23200,9998,5,10004,2
,STARFRUIT,23200,4997,31,5002,3
,STARFRUIT,23300,4998,30,5004,1
,AMETHYSTS,23300,9996,1,10004,1
,STARFRUIT,23400,4998,30,5005,30
,AMETHYSTS,23400,9996,1,10004,1
,AMETHYSTS,23500,9998,8,10004,2
,STARFRUIT,23500,4998,29,5003,4
,STARFRUIT,23600,4998,27,5005,27
,AMETHYSTS,23600,9995,27,10005,27
,STARFRUIT,23700,4997,23,5002,7
,AMETHYSTS,23700,10002,1,10004,2
,STARFRUIT,23800,5003,1,5004,30
,AMETHYSTS,23800,9995,30,10005,30
,AMETHYSTS,23900,9995,30,10005,30
,STARFRUIT,23900,5002,1,5004,30
,STARFRUIT,24000,4996,29,5003,29
,AMETHYSTS,24000,9998,9,10005,29
,STARFRUIT,24100,4996,26,5001,3
,AMETHYSTS,24100,9996,1,10004,1
,STARFRUIT,24200,4996,30,5003,30
,AMETHYSTS,24200,9996,2,10002,6
,AMETHYSTS,24300,9996,2,10002,1
,STARFRUIT,24300,4996,26,5003,26
,STARFRUIT,24400,5002,1,5003,22
,AMETHYSTS,24400,10002,1,10004,1
,STARFRUIT,24500,4997,1,5003,26
,AMETHYSTS,24500,10002,1,10004,1
,STARFRUIT,24600,4996,24,5001,2
,AMETHYSTS,24600,9995,24,9998,2
,AMETHYSTS,24700,9995,25,10005,25
,STARFRUIT,24700,4996,25,5003,25
,STARFRUIT,24800,4995,23,5002,23
,AMETHYSTS,24800,9995,23,10005,23
,STARFRUIT,24900,4999,4,5002,23
,AMETHYSTS,24900,10002,1,10004,1
,STARFRUIT,25000,4995,23,5002,23
,AMETHYSTS,25000,9995,23,10005,23
,AMETHYSTS,25100,10002,1,10005,25
,STARFRUIT,25100,4995,25,5000,4
,STARFRUIT,25200,4996,1,5000,3
,AMETHYSTS,25200,9996,1,9998,5
,STARFRUIT,25300,4996,2,5002,24
,AMETHYSTS,25300,9996,2,10004,2
,AMETHYSTS,25400,9996,1,10004,1
,STARFRUIT,25400,5000,8,5001,1
,AMETHYSTS,25500,9996,1,9998,6
,STARFRUIT,25500,4995,1,5001,21
,STARFRUIT,25600,4995,8,5001,23
,AMETHYSTS,25600,9996,1,10002,7
,AMETHYSTS,25700,9996,2,10004,2
,STARFRUIT,25700,4995,32,5000,6
,AMETHYSTS,25800,10002,4,10005,24
,STARFRUIT,25800,4995,23,5002,24
,AMETHYSTS,25900,9996,2,10004,2
,STARFRUIT,25900,4995,25,5001,2
,STARFRUIT,26000,4994,27,4995,5
,AMETHYSTS,26000,9996,2,10004,2
,AMETHYSTS,26100,9998,7,10005,20
,STARFRUIT,26100,4994,20,5001,20
,AMETHYSTS,26200,9996,1,10004,1
,STARFRUIT,26200,4994,23,5000,1
,AMETHYSTS,26300,9996,1,9998,1
,STARFRUIT,26300,4994,30,5001,30
,STARFRUIT,26400,4994,5,5000,22
,AMETHYSTS,26400,9995,22,10005,22
,AMETHYSTS,26500,9996,1,10004,1
,STARFRUIT,26500,4993,24,5000,24
,AMETHYSTS,26600,9996,2,9998,1
,STARFRUIT,26600,4994,6,5000,30
,AMETHYSTS,26700,9998,2,10004,1
,STARFRUIT,26700,4993,24,4998,6
,STARFRUIT,26800,4998,1,4999,30
,AMETHYSTS,26800,9996,2,10004,2
,AMETHYSTS,26900,10002,1,10005,30
,STARFRUIT,26900,4991,30,4992,1
,AMETHYSTS,27000,9995,28,10002,1
,STARFRUIT,27000,4992,2,4998,28
,AMETHYSTS,27100,9995,24,10005,24
,STARFRUIT,27100,4992,3,4998,24
,STARFRUIT,27200,4991,21,4996,2
,AMETHYSTS,27200,9998,2,10005,21
,AMETHYSTS,27300,9996,2,10004,2
,STARFRUIT,27300,4996,1,4997,2
,AMETHYSTS,27400,9995,21,10005,21
,STARFRUIT,27400,4991,21,4998,21
,AMETHYSTS,27500,9996,1,10004,1
,STARFRUIT,27500,4992,23,4997,6
,STARFRUIT,27600,4993,6,4999,24
,AMETHYSTS,27600,9998,5,10005,24
,STARFRUIT,27700,4992,24,4993,5
,AMETHYSTS,27700,9995,24,10005,24
,AMETHYSTS,27800,9998,9,10004,2
,STARFRUIT,27800,4992,28,4997,3
,STARFRUIT,27900,4998,1,4999,29
,AMETHYSTS,27900,9996,2,10002,4
,STARFRUIT,28000,4992,28,4999,28
,AMETHYSTS,28000,9998,2,10005,28
,STARFRUIT,28100,4992,26,4999,26
,AMETHYSTS,28100,9996,2,10004,2
,AMETHYSTS,28200,9996,1,9998,2
,STARFRUIT,28200,4992,26,4997,5
,STARFRUIT,28300,4993,1,4994,2
,AMETHYSTS,28300,9996,1,10004,1
,STARFRUIT,28400,4992,1,4998,25
,AMETHYSTS,28400,9996,2,10004,2
,STARFRUIT,28500,4991,23,4998,23
,AMETHYSTS,28500,9998,10,10005,23
,AMETHYSTS,28600,10002,1,10004,2
,STARFRUIT,28600,4991,23,4996,8
,STARFRUIT,28700,4990,30,4997,30
,AMETHYSTS,28700,9995,30,10005,30
,STARFRUIT,28800,4990,27,4997,27
,AMETHYSTS,28800,9995,27,10005,27
,STARFRUIT,28900,4990,5,4996,22
,AMETHYSTS,28900,9998,7,10004,1
,AMETHYSTS,29000,9995,24,10005,24
,STARFRUIT,29000,4989,24,4990,1
,STARFRUIT,29100,4991,3,4996,2
,AMETHYSTS,29100,9996,2,10004,2
,STARFRUIT,29200,4996,1,4997,1
,AMETHYSTS,29200,9996,1,10004,1
,STARFRUIT,29300,4991,32,4995,2
,AMETHYSTS,29300,9996,2,10002,3
,AMETHYSTS,29400,10002,1,10004,1
,STARFRUIT,29400,4991,25,4998,26
,STARFRUIT,29500,4992,2,4998,29
,AMETHYSTS,29500,9996,2,10004,2
,STARFRUIT,29600,4991,30,4996,3
,AMETHYSTS,29600,9996,2,10004,2
,STARFRUIT,29700,4992,2,4997,1
,AMETHYSTS,29700,9996,1,10002,4
,AMETHYSTS,29800,9998,6,10004,1
,STARFRUIT,29800,4990,31,4995,1
,STARFRUIT,29900,4991,8,4997,21
,AMETHYSTS,29900,9995,21,10005,21
,STARFRUIT,30000,4990,31,4997,31
,AMETHYSTS,30000,9998,3,10004,1
,STARFRUIT,30100,4991,30,4997,30
,AMETHYSTS,30100,9996,2,10004,2
,AMETHYSTS,30200,9996,2,10004,2
,STARFRUIT,30200,4991,22,4997,2
,STARFRUIT,30300,4996,1,4998,31
,AMETHYSTS,30300,9996,2,10002,9
,STARFRUIT,30400,4994,5,4997,2
,AMETHYSTS,30400,10000,5,10002,8
,STARFRUIT,30500,4991,22,4998,22
,AMETHYSTS,30500,9998,5,10004,2
,AMETHYSTS,30600,9996,2,10002,4
,STARFRUIT,30600,4992,21,4998,2
,STARFRUIT,30700,4992,30,4999,30
,AMETHYSTS,30700,9995,30,10005,30
,STARFRUIT,30800,4993,3,4998,1
,AMETHYSTS,30800,9996,1,10004,1
,STARFRUIT,30900,4991,30,4996,7
,AMETHYSTS,30900,9996,2,10002,6
,AMETHYSTS,31000,10000,4,10004,1
